level,name,pid,start_time,end_time,duration,source_file
error,scheduled task 051,39547,11:37:53,11:49:22,00:11:29,denis
error,scheduled task 515,45135,11:37:14,11:49:37,00:12:23,denis
error,background job wmy,81258,11:36:58,11:51:44,00:14:46,denis
error,scheduled task 004,22003,11:55:29,12:06:42,00:11:13,denis
error,scheduled task 064,85742,11:55:16,12:07:33,00:12:17,denis
error,scheduled task 460,39860,11:53:17,12:13:09,00:19:52,denis
error,background job tqc,52532,12:00:03,12:13:56,00:13:53,denis
error,scheduled task 936,62401,12:05:59,12:16:23,00:10:24,denis
error,scheduled task 374,23703,12:04:57,12:18:23,00:13:26,denis
error,scheduled task 182,70808,11:44:43,12:18:26,00:33:43,denis
