level,name,pid,start_time,end_time,duration,source_file
clean,scheduled task 032,37980,11:35:23,11:35:56,00:00:33,denis
clean,scheduled task 796,57672,11:36:11,11:36:18,00:00:07,denis
clean,scheduled task 386,10515,11:38:33,11:40:24,00:01:51,denis
clean,scheduled task 188,23118,11:40:49,11:41:28,00:00:39,denis
clean,background job ulp,60134,11:41:11,11:41:55,00:00:44,denis
clean,scheduled task 996,90962,11:40:51,11:42:46,00:01:55,denis
clean,background job dej,90812,11:39:26,11:43:32,00:04:06,denis
clean,scheduled task 173,75164,11:45:47,11:46:51,00:01:04,denis
clean,background job djw,36709,11:47:04,11:47:54,00:00:50,denis
clean,scheduled task 538,26831,11:46:04,11:48:16,00:02:12,denis
clean,scheduled task 946,47139,11:44:56,11:48:22,00:03:26,denis
clean,scheduled task 697,32904,11:49:12,11:49:46,00:00:34,denis
clean,scheduled task 536,24799,11:51:21,11:51:28,00:00:07,denis
clean,scheduled task 626,32674,11:51:06,11:52:32,00:01:26,denis
clean,background job you,38579,11:50:09,11:53:42,00:03:33,denis
clean,background job cmx,55722,11:54:56,11:55:43,00:00:47,denis
clean,scheduled task 706,33528,11:52:47,11:56:09,00:03:22,denis
clean,scheduled task 521,64591,11:57:05,11:58:55,00:01:50,denis
clean,scheduled task 080,67833,11:57:16,12:00:51,00:03:35,denis
clean,scheduled task 678,96183,11:58:12,12:02:26,00:04:14,denis
clean,scheduled task 773,16168,12:02:39,12:02:55,00:00:16,denis
clean,scheduled task 920,34189,11:59:43,12:03:02,00:03:19,denis
clean,background job wiy,81470,12:08:30,12:09:33,00:01:03,denis
clean,scheduled task 531,62922,12:14:20,12:15:09,00:00:49,denis
